model,valid,desc,prop1.valid,prop1.states,prop1.times,prop2.valid,prop2.states,prop2.times,prop3.valid,prop3.states,prop3.times,prop4.valid,prop4.states,prop4.times,prop5.valid,prop5.states,prop5.times,prop6.valid,prop6.states,prop6.times,prop7.valid,prop7.states,prop7.times,event-centre-orderwire.valid,event-centre-orderwire.states,event-centre-orderwire.times,event-command-shippinglogwire.valid,event-command-shippinglogwire.states,event-command-shippinglogwire.times,event-command-orderlogwire.valid,event-command-orderlogwire.states,event-command-orderlogwire.times,event-query-queuereadwire.valid,event-query-queuereadwire.states,event-query-queuereadwire.times,event-query-orderreadwire.valid,event-query-orderreadwire.states,event-query-orderreadwire.times,secure-writeoraclepaywire.valid,secure-writeoraclepaywire.states,secure-writeoraclepaywire.times
0,true,setup database: shippinglogwirecommandlog,true,15,0.005627699999999999,true,65,0.006097699999999999,true,10,0.0054662999999999995,true,15,0.0088413,true,24,0.005437,true,29,0.0053647,true,60,0.005468499999999999,,,,,,,,,,,,,,,,,,
1,true,setup database: orderwirelog,true,15,0.0046164,true,65,0.005764,true,10,0.0051122,true,15,0.0077516,true,24,0.006689499999999999,true,29,0.0058251,true,60,0.0057531,,,,,,,,,,,,,,,,,,
2,true,setup database: paymentblockchain,true,15,0.0051987,true,65,0.0084713,true,10,0.0068629,true,15,0.0065362,true,24,0.0057965,true,29,0.0055444,true,60,0.009068399999999999,,,,,,,,,,,,,,,,,,
3,true,setup database: orderlogwirecommandlog,true,15,0.0061867,true,65,0.0061389999999999995,true,10,0.005192,true,15,0.008634,true,24,0.0057767,true,29,0.0065217999999999995,true,60,0.0060761999999999995,,,,,,,,,,,,,,,,,,
4,false,network route for connector:orderwire between: shopfrontend orderwirelog ,true,1175,0.0324795,true,1938,0.0505831,false,518,0.019197799999999998,true,1175,0.034028499999999996,true,1904,0.0482028,true,2309,0.0545262,false,150,0.012783,true,2108,0.051718,,,,,,,,,,,,,,,
5,false,network route for connector:oraclepaywire between: payment paymentblockchain ,true,1175,0.047464099999999995,true,1938,0.060808999999999995,false,518,0.025240099999999998,true,1175,0.0415563,true,1904,0.0545707,true,2309,0.062488699999999994,false,150,0.015016,true,2108,0.0612044,,,,,,,,,,,,,false,975,0.036751
6,false,network route for connector:orderlogwire between: ordersservice orderlogwirecommandlog ,true,1117,0.046139599999999996,true,1874,0.054340799999999995,false,628,0.0285025,true,1117,0.0368283,true,1810,0.0543701,true,2195,0.0644272,false,144,0.016135399999999998,true,2004,0.0601031,,,,true,2162,0.0607232,,,,,,,false,1163,0.0399992
8,false,deploy service: shippingservice,false,764,0.0283693,false,236,0.017578899999999998,true,2359,0.07714069999999999,false,764,0.0304421,false,505,0.0247352,false,4565,0.13015279999999999,false,1190,0.0395355,false,1187,0.0386549,,,,true,3790,0.11956929999999999,,,,,,,true,7228,0.20587519999999998
9,false,network route for connector:orderreadwire between: ordersservice ordersdb ,true,1117,0.037318,true,1874,0.0531064,false,628,0.0265484,true,1117,0.1104878,true,1810,0.060533899999999995,true,2041,0.058485199999999994,false,144,0.0181541,true,2004,0.061465399999999996,,,,true,2162,0.0610791,,,,true,1733,0.0574178,false,1163,0.0464401
10,false,network route for connector:shippinglogwire between: shippingservice shippinglogwirecommandlog ,true,3171,0.0954714,true,3810,0.11071099999999999,false,1982,0.062254899999999995,true,3171,0.0922514,true,5172,0.1392498,true,5775,0.1534337,false,142,0.0149225,true,5596,0.15254769999999998,true,5726,0.1628771,true,6358,0.1653096,,,,true,4907,0.1308103,false,3355,0.0959791
11,false,network route for connector:shippinglogwire between: shippingservice queuedb ,true,17607,0.5101317,true,19038,0.5761702,false,11530,0.3793856,true,17607,0.5176227999999999,true,28880,0.8750967,true,31971,0.9166000999999999,false,158,0.026493,true,30624,0.9021047999999999,true,33018,0.9584467,true,35634,1.0411107,,,,true,27183,0.7776991,false,18595,0.5823423999999999
12,false,network route for connector:orderwire between: shopfrontend ordersservice ,true,15,0.0837434,true,16890,0.6094670999999999,true,10,0.0269827,true,15,0.0231413,true,24,0.0242338,true,27,0.025852399999999998,true,16363,0.4783634,true,23501,0.6879373,true,28602,0.8557342,true,29222,0.8794847,,,,true,23,0.025431199999999998,false,1206,0.052472899999999996
13,true,network route for connector:paywire between: ordersservice payment ,true,15,0.0239142,true,98442,3.1958587,true,10,0.025654,true,15,0.0238938,true,24,0.0236992,true,27,0.0271741,true,95203,3.0831942999999997,true,137936,4.4170526,true,168290,5.518204,true,170522,5.6827692999999995,,,,true,23,0.024499999999999997,true,170266,5.5892873
14,true,network route for connector:queuereadwire between: shippingworker queuedb ,true,15,0.024815399999999998,true,98442,3.0787229999999997,true,10,0.023218299999999997,true,15,0.023788899999999998,true,24,0.024898299999999998,true,27,0.027085099999999997,true,95203,3.0964677999999997,true,137936,4.5646287,true,168290,5.4514116999999995,true,170522,5.5432467999999995,true,14,0.0257878,true,23,0.0249283,true,170266,5.4890726
