model,valid,desc,prop1.valid,prop1.states,prop1.times,prop2.valid,prop2.states,prop2.times,prop3.valid,prop3.states,prop3.times,prop4.valid,prop4.states,prop4.times,prop5.valid,prop5.states,prop5.times,event-centre-guardnoti.valid,event-centre-guardnoti.states,event-centre-guardnoti.times,event-command-emupwire.valid,event-command-emupwire.states,event-command-emupwire.times,event-command-pgupwire.valid,event-command-pgupwire.states,event-command-pgupwire.times,event-query-emwire.valid,event-query-emwire.states,event-query-emwire.times,event-query-pgwire.valid,event-query-pgwire.states,event-query-pgwire.times,secure-writeoracleptupwire.valid,secure-writeoracleptupwire.states,secure-writeoracleptupwire.times,secure-readroptwire.valid,secure-readroptwire.states,secure-readroptwire.times
0,true,setup database: pgupwirecommandlog,true,4144,0.17723139999999998,true,4145,0.0909605,true,4144,0.0805019,true,5811,0.1127579,true,5811,0.110301,,,,,,,,,,,,,,,,,,,,,
1,true,setup database: guardnotilog,true,4144,0.07950299999999999,true,4145,0.0792787,true,4144,0.0780443,true,5811,0.11026359999999999,true,5811,0.109747,,,,,,,,,,,,,,,,,,,,,
2,true,setup database: emupwirecommandlog,true,4144,0.0861671,true,4145,0.0827169,true,4144,0.081332,true,5811,0.1078808,true,5811,0.1108681,,,,,,,,,,,,,,,,,,,,,
3,true,setup database: practitioner,true,4144,0.0798938,true,4145,0.078128,true,4144,0.08304249999999999,true,5811,0.1082664,true,5811,0.1156021,,,,,,,,,,,,,,,,,,,,,
4,true,setup database: patientblockchain,true,4144,0.0830312,true,4145,0.1716605,true,4144,0.0857254,true,5811,0.1136442,true,5811,0.12112679999999999,,,,,,,,,,,,,,,,,,,,,
5,true,setup database: emcenter,true,4144,0.07930129999999999,true,4145,0.0998269,true,4144,0.0798465,true,5811,0.1146908,true,5811,0.1159355,,,,,,,,,,,,,,,,,,,,,
6,true,network route for connector:emupwire between: backoffice emupwirecommandlog ,true,4144,0.0774871,true,4145,0.09115179999999999,true,4144,0.0789338,true,5811,0.1121894,true,5811,0.1061757,,,,true,28,0.0040596,,,,,,,,,,,,,,,
7,true,network route for connector:emupwire between: backoffice emcenter ,true,4144,0.0828341,true,4145,0.0806223,true,4144,0.0808882,true,5811,0.11671759999999999,true,5811,0.11745879999999999,,,,true,108,0.0081468,,,,,,,,,,,,,,,
8,true,network route for connector:pgupwire between: backoffice pgupwirecommandlog ,true,4144,0.1775227,true,4145,0.09275069999999999,true,4144,0.0974279,true,5811,0.1303654,true,5811,0.12215119999999999,,,,true,728,0.0220859,true,708,0.020037899999999997,,,,,,,,,,,,
9,true,network route for connector:pgupwire between: backoffice practitioner ,true,4144,0.0957507,true,4145,0.0946571,true,4144,0.1022831,true,5811,0.13153209999999999,true,5811,0.1354063,,,,true,4840,0.11945449999999999,true,4708,0.11329779999999999,,,,,,,,,,,,
11,true,deploy service: patient,true,4144,0.09965489999999999,true,4145,0.0991507,true,4144,0.0936525,true,5811,0.1276921,true,5811,0.1251582,,,,true,4840,0.12121789999999999,true,4708,0.1143959,,,,,,,,,,,,
12,true,network route for connector:ptwire between: lifeguard patient ,true,4144,0.18242699999999998,true,4145,0.1032008,true,4144,0.0946617,true,5811,0.13797479999999998,true,5811,0.1286027,,,,true,4840,0.1169457,true,4708,0.110664,,,,,,,,,,,,
13,true,network route for connector:ptwire between: lifecare patient ,true,4144,0.0901173,true,4145,0.0918524,true,4144,0.1019974,true,5811,0.1280695,true,5811,0.1262846,,,,true,4840,0.1212716,true,4708,0.1141435,,,,,,,,,,,,
14,true,network route for connector:roptwire between: patient patientblockchain ,true,8221,0.20676429999999998,true,8222,0.1970437,true,8221,0.19156279999999998,true,12690,0.3047456,true,12690,0.31090439999999997,,,,true,4840,0.1287701,true,4708,0.1313788,,,,,,,,,,true,9575,0.3443345
16,true,deploy service: patientoracle,true,8221,0.19650309999999999,true,8222,0.1908263,true,8221,0.18878989999999998,true,12690,0.3048589,true,12690,0.31742899999999996,,,,true,4840,0.1263284,true,4708,0.1310829,,,,,,,,,,true,9575,0.21836409999999998
17,false,network route for connector:oracleptupwire between: patientoracle patientblockchain ,false,330742,10.8835997,false,330514,10.5666604,false,330209,10.851240599999999,false,16980,0.5000277,false,32513,0.9469662999999999,,,,false,97881,3.501683,false,97881,3.4871266999999997,,,,,,,true,1307,0.0754663,false,9975,0.2822723
18,true,network route for connector:ptupwire between: hospitalmgmt patientoracle ,true,8221,0.20896589999999998,true,8222,0.2083246,true,8221,0.22917259999999998,true,12690,0.45991479999999996,true,12690,0.3532782,,,,true,4840,0.1563422,true,4708,0.1431898,,,,,,,true,67,0.023864399999999997,true,9575,0.2386064
20,true,deploy service: requestdispatcher,true,8221,0.2049073,true,8222,0.2103755,true,8221,0.2143666,true,12690,0.330716,true,12690,0.3213058,,,,true,4840,0.1452462,true,4708,0.144736,,,,,,,true,67,0.0240774,true,9575,0.24261059999999998
21,false,network route for connector:guardnoti between: requestdispatcher lifeguard ,true,1240,0.047749799999999995,true,1277,0.0519122,true,1240,0.0485813,true,1739,0.0599301,true,1055,0.0456322,false,82,0.0240579,true,119662,3.7747528,true,116434,3.9620081,,,,,,,true,2083,0.0735468,true,1226,0.0512134
22,true,network route for connector:guardnoti between: requestdispatcher guardnotilog ,true,63609,1.7137026,true,63646,1.7218369999999998,true,63609,1.6684259,true,102202,2.7085030999999997,true,92506,2.4872033,true,76070,2.0566819,true,119662,3.8435278,true,116434,3.7020901,,,,,,,true,2083,0.0911483,true,75076,1.9833440999999998
23,true,network route for connector:guardnoti between: requestdispatcher lifecare ,true,22564,0.6071847,true,22565,0.6264415,true,22564,0.6098032999999999,true,34615,0.9234513999999999,true,34615,0.913295,true,24052,0.666457,true,4840,0.1833309,true,4708,0.1840513,,,,,,,true,67,0.045455699999999995,true,26273,0.8546209
24,true,network route for connector:pgwire between: requestdispatcher practitioner ,true,22353,0.6351371,true,22354,0.6290403999999999,true,22353,0.5960470999999999,true,34344,0.9394889999999999,true,34344,1.0183545999999999,true,23756,0.6475981,true,4840,0.171241,true,4708,0.1747332,,,,true,22358,0.6171302,true,67,0.044078599999999996,true,26032,0.7153339
25,true,network route for connector:emwire between: requestdispatcher emcenter ,true,22352,0.6259475,true,22353,0.6460342,true,22351,0.6214436999999999,true,34343,0.9269771,true,34343,0.9287213999999999,true,23754,0.6397482,true,4840,0.1759874,true,4708,0.1738826,true,22918,0.6260477999999999,true,22356,0.6089064,true,67,0.044013199999999995,true,26031,0.7295636
